month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.3450430433793804,0.21648311262370717,0.1307014233718072,0.7318979956500642,0.3560313937562397,63695_Meru,2026-01-10 17:42:33.511621
2,0.4033098860525888,0.5147800218838561,0.14954270598515046,0.6848096169382429,0.43811055771495955,63695_Meru,2026-01-10 17:42:33.511621
3,0.48502553267508597,0.7924773587609031,0.14638996102181162,0.7909310337375428,0.5537059715488359,63695_Meru,2026-01-10 17:42:33.511621
4,0.637617400360841,0.4809350691562092,0.3080061014336561,0.8415830030694917,0.5670353935050496,63695_Meru,2026-01-10 17:42:33.511621
5,0.3216470152045825,0.3167147434504821,0.40172352806163614,0.41711426951504527,0.36429988905793653,63695_Meru,2026-01-10 17:42:33.511621
6,0.25,0.15298495147301513,0.6464931540216281,0.3790570779818856,0.35713379586913224,63695_Meru,2026-01-10 17:42:33.511621
7,0.1509892967178431,0.1229296879227742,0.7192825748969088,0.17765124481100836,0.2927132010871336,63695_Meru,2026-01-10 17:42:33.511621
8,0.13585775660140464,0.33871420546049363,0.7529736065100945,0.1485845115041622,0.3440325200190387,63695_Meru,2026-01-10 17:42:33.511621
9,0.16709499358959576,0.4944198608841229,0.8036693126503403,0.4718480649345761,0.4842580580146587,63695_Meru,2026-01-10 17:42:33.511621
10,0.296414579545028,0.7118973831112221,0.5897066297994342,0.6162477687270671,0.5535665902956879,63695_Meru,2026-01-10 17:42:33.511621
11,0.735632183908046,0.4186667375997698,0.5519855305705015,0.672590010278589,0.5947186155892266,63695_Meru,2026-01-10 17:42:33.511621
12,0.47434866791049024,0.0872578759454699,0.04166179772066239,0.6280633214492071,0.3078329157564574,63695_Meru,2026-01-10 17:42:33.511621
